Name,Type,Move Power,Move Time,PP,Duration,Range,Description,Dmg lvl 1,Dmg lvl 5,Dmg lvl 10,Dmg lvl 17
Lock-On,Normal,None,1 action,3,Instantaneous,60ft,"You hone in on your target, ready to strike. When this move is activated, a single attack roll you make next turn is guaranteed to hit. You may roll to see if you crit or cause an effect from a high roll. This move does not affect one-shot moves like Fissure, Guillotine, etc.",,,,
Lovely Kiss,Normal,CHA/WIS,1 action,3,Instantaneous,60ft,"You blow a kiss to a creature, attempting to put the target to sleep. The target must make a CHA save against your Move DC, falling asleep on a failure.",,,,
Low Kick,Fighting,STR/DEX,1 action,10,Instantaneous,Melee,"You kick out at a creature’s lower half, dealing damage and attempting to knock it off balance. Make a melee attack, doing 1d8 + MOVE fighting damage on a hit. If the natural attack roll is 19 or 20, the target flinches.",1d8+Move,1d10+Move,2d8+Move,5d4+Move
Low Sweep,Fighting,STR/DEX,1 action,10,Instantaneous,Melee,"You sweep your legs at the lower half of an opponent's body. Make a melee attack roll, dealing 1d10 + MOVE fighting damage on a hit. On a hit, target must succeed on a STR save against your Move DC or be knocked prone.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Lucky Chant,Normal,None,1 reaction,3,Instantaneous,Self,"When an opponent scores a critical hit on you, you may use your reaction to quickly recite a magical incantation that treats the attack like a normal hit, preventing the extra damage.",,,,
Lunar Dance,Psychic,None,1 action,5,Instantaneous,Self,"You sacrifice yourself for another one of your trainer's Pokémon. When activating this move, the user faints, but the next creature released by its trainer is fully healed and cured of any status effects.",,,,
Luster Purge,Psychic,DEX,1 action,3,1 round,30ft,"You create a blinding bright light that damages a target's eyes and may lower their defense. Make a ranged attack against an opponent, dealing 1d12 + MOVE psychic damage on a hit. On a natural attack roll of 18 or more, any attack against this target has advantage until the end of your next turn.",1d12+Move,2d8+Move,2d12+Move,6d6+Move
Mach Punch,Fighting,STR/DEX,1 bonus action,15,Instantaneous,10ft,"You rush forward to punch with incredible speed. Choose a target withing 10 feet of you. You rush forward to slam a fist into the creature, avoiding all attacks of opportunity. Make a melee attack on that creature, dealing 1d4 fighting damage on a hit.",1d4,1d6,1d10,1d12
Magic Coat,Psychic,WIS/CON,1 reaction,3,Instantaneous,50ft,"A flash of magical energy forms between you and an opponent, reflecting negative energy back at an attacker in range. When an attack from an opponent causes you to suffer from a negative status condition, they are also affected by the same condition.",,,,
Magic Room,Psychic,None,1 action,5,"5 rounds, Concentration",50ft circle,"You employ your psychic power to suppress the effect of all held moves in a 50 foot circle, centered on you.",,,,
Magical Leaf,Grass,DEX,1 action,5,Instantaneous,30ft,"You summon a sharp, magical leaf that strikes an opponent.  This move is guaranteed to hit for 1d6 + MOVE grass damage, unless during the invulnerable stage of Fly, Dig, Bounce, Dive, etc. moves.",1d6+Move,1d10+Move,2d8+Move,5d4+Move
Magma Storm,Fire,STR,1 action,3,"1 minute, Concentration",50ft,"You stir up a maelstrom of fire in a 20 foot circle, centered on a point within range, that continues to rage as long as you hold your concentration. Any creature that starts their turn in the storm must make a CON save against your Move DC, taking 4d4 + MOVE fire damage on a failure, or half as much on a success.",4d4+Move,2d12+Move,4d8+Move,8d6+Move
Magnet Bomb,Steel,STR/DEX,1 action,5,Instantaneous,60ft,"You hurl a steel ball that seeks out an opponent in range, never missing. This move is guaranteed to hit for 1d6 + MOVE steel damage, unless during the invulnerable stage of Fly, Dig, Bounce, Dive, etc. moves.",1d6+Move,1d10+Move,2d8+Move,5d4+Move
Magnet Rise,Electric,None,1 action,5,"1 minute, Concentration",Self,"You use magnetic power within yourself to raise yourself from the ground, becoming immune to ground moves for the duration.",,,,
Magnetic Flux,Electric,None,1 action,10,1 round,40ft,"You use your electric energy to manipulate magnetic fields. Until the beginning of your next turn, any creature in range with the Plus or Minus ability gains a bonus to their AC equal to your proficiency modifier, and any saving throw they are forced to make is rolled with advantage.",,,,
Magnitude,Ground,STR,1 action,5,Instantaneous,40ft,"You shake the ground with an earth-shattering quake. All creature in range must make a DEX save against your Move DC, taking half damage on a success and full damage on a fail. Roll a d100 on the table below to determine damage. 

| d100  | Damage |
|  01-05  | 1d4+MOVE |
|  06-15  | 1d8+MOVE |
|  16-35  | 1d10+MOVE |
|  36-65  | 1d12+MOVE |
|  66-85  | 2d6+MOVE |
|  86-95  | 2d8+MOVE |
|  96-100  | 2d12+MOVE |",1x Dice,2x Dice,3x Dice,4x Dice
Mat Block,Fighting,None,1 action,3,Instantaneous,15ft,"You conjure up a ethereal, protective mat to shield you and your allies. Until the end of your next turn, any ally creature within 15 feet of you (including you) is immune to damage from damaging moves. Status-inducing moves can still affect their targets.",,,,
Me First,Normal,None,1 reaction,3,Instantaneous,40ft,"When targeted by a direct attack that isn't Fake Out, Sucker Punch, or one that moved the opponent to the top of the initiative order (Extreme Speed, etc.), you may use your reaction to copy the opponent's move against it before it makes the attack. Your attack is rolled at disadvantage, but on a hit, double the damage dice for the move. The damage tier for the move is based off of your level, not the opponent's.",,,,
Mean Look,Normal,STR/CHA,1 action,3,3 rounds,50ft,"You flash an intimidating look at a target, attempting to freeze them in fear. Force a target in range to make a WIS save against your Move DC. On a fail, the target cannot flee or be switched out for 3 rounds.",,,,
Meditate,Psychic,None,1 action,20,"1 minute, Concentration",Self,"You become one with your inner self. For the duration, double your proficiency bonus when it comes to attack rolls and saving throws.",,,,
Mega Drain,Grass,STR/DEX,1 action,10,Instantaneous,50ft,"You attempt to drain the life force of a target. Make a ranged attack on a target, doing 1d6 + MOVE grass damage on a hit. Half of the damage dealt is restored to the user.",1d6+Move,1d12+Move,2d8+Move,4d6+Move
Mega Kick,Normal,STR,1 action,10,Instantaneous,Melee,"You strike out with a hard kick. Make a melee attack against a target, doing 2d10 + MOVE normal damage on a hit.",2d10+Move,3d8+Move,4d10+Move,7d8+Move
Mega Punch,Normal,STR,1 action,15,Instantaneous,Melee,"You strike out with a hard punch Make a melee attack against a target, doing 2d6 + MOVE normal damage on a hit.",2d6+Move,2d8+Move,4d6+Move,6d6+Move
Megahorn,Bug,STR/DEX,1 action,5,Instantaneous,Melee,"You charge an opponent for a devastating horn attack. Make a melee attack roll, doing 2d10 + MOVE bug damage on a hit. If the user moves at least 20 feet towards a target before using this move, the target is forced to make a STR save against your Move DC or be knocked prone.",2d10+Move,3d8+Move,4d10+Move,7d8+Move
Memento,Dark,None,1 action,3,2 rounds,Melee,"You sacrifice your life force to leave a lasting mark on an enemy. When you activate this move, you touch an opponent and drop to 0 hit points. As a result, the opponent is incapacitated for 2 rounds. All attacks against it have advantage, it automatically fails all STR and DEX saving throws, and it cannot attack, move, flee, or be switched out.",,,,
Metal Burst,Steel,STR/DEX,1 reaction,3,Instantaneous,Melee,"You lash out in retaliation with a bust of harsh metal shards. When hit by a melee attack, you may use your reaction to make an attack roll on the creature that hit you. On a hit, deal an amount of steel damage equal to the damage dealt to you plus your own STAB bonus.",,,,
Metal Claw,Steel,STR,1 action,10,Instantaneous,Melee,"You strike out with sharp claws. Make a melee attack roll against an opponent, doing 1d8 + MOVE steel damage on a hit. If the natural attack roll is 19 or 20, your next attack gets an additional +1 to hit.",1d8+Move,2d6+Move,4d4+Move,3d10+Move
Metal Sound,Steel,STR/DEX,1 action,5,1 round,50ft,"You emit an ear-shattering high pitched sound that only your target can hear, leaving them in a defenseless state. When activating this move, a target must make a CON saving throw against your Move DC. On a failure, all attack rolls against the target are given a +5 bonus until the end of your next turn.",,,,
Meteor Mash,Steel,STR/DEX,1 action,5,Instantaneous,Melee,"You smash an opponent with a fist as fast as a meteor strike. Make a melee attack against an opponent, doing 2d8 + MOVE steel damage on a hit. If the natural attack roll is 18 or higher, your next attack has advantage.",2d8+Move,2d10+Move,3d10+Move,4d12+Move
Metronome,Normal,Varies,1 action,5,Varies,Varies,"You summon a move at random to inflict against the enemy. When you use this move, roll a d100. The resulting number is the TM number for the move you make. If the move is unable to be completed because of positioning, range, etc., Metronome fails.",,,,
Milk Drink,Normal,CON,1 action,5,Instantaneous,10ft,You create a tasty drink that heals your or an ally’s wounds. The recipient gains 2d6 + MOVE hit points.,2d6+Move,3d6+Move,5d6+Move,8d6+Move
Mimic,Normal,None,1 action,5,"1 minute, Concentration",120ft,"You copy another creature's movements, learning its ways in battle. When used, this move is temporarily replaced by your choice of one of the target's moves. The target can be an ally. After one PP is subtracted to use this move, the replacement move will retain Mimic's remaining PP. The user can select any of the target's moves to copy for the duration.",,,,
Mind Reader,Normal,None,1 action,3,Instantaneous,Self,"You sense the motives and moves of a creature around you. When this move is activated, a single attack roll you make next turn is guaranteed to hit. You may roll to see if you crit or cause an effect from a high roll. This move does not affect one-shot moves like Fissure, Guillotine, etc.",,,,
Minimize,Normal,None,1 action,5,"1 minute, Concentration",Self,"You appear smaller to your opponents, increasing your evasion. For the duration, you gain an additional +2 to your AC.",,,,
Miracle Eye,Psychic,WIS/INT,1 action,20,1 minute,50ft,"You flash your eyes at your opponent, stunning them briefly and lowering their defenses. When activating this move, choose a target in range and force them to make a WIS save against your Move DC. On a failure, any modifiers to their AC are reset, and if they are Dark or Ghost-type, their immunities are relinquished for the duration.",,,,
Mirror Coat,Psychic,CON/WIS,1 reaction,3,Instantaneous,40ft,"When hit by a ranged attack, you can attempt to decrease the damage and send some back at the attacker in range. Using this reaction, the damage is decreased by 1d6 + MOVE. If this causes the damage to fall below zero, the attack is  deflected and you may make a ranged attack roll to send it back at the attacker for the same amount of psychic type damage.",1d6+Move,2d4+Move,1d12+Move,4d4+Move
Mirror Move,Flying,Varies,1 action,10,Instantaneous,"50ft, Move varies","You perform the same move made by a chosen target after your last turn, using your own statistics for bonuses and Move saves if applicable.",,,,
Mirror Shot,Steel,STR/DEX,1 action,5,Instantaneous,40ft,"You loose a damaging flash of light from your polished body. Make a ranged attack on an opponent, dealing 1d10 + MOVE steel damage on a hit. On a hit, the target must make a CON save against your Move DC. On a failure, the target has disadvantage on its next attack roll.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Mist,Ice,None,1 action,15,1 minute,30ft,"A light mist surrounds a target, offering a protective barrier. The target is immune to negative stat effects or modifier changes for the duration, but any current effects are still in place.",,,,
Mist Ball,Psychic,STR/DEX,1 action,3,Instantaneous,50ft,"You fire an explosive ball of damaging mist at an opponent in range. Make a ranged attack against a target, doing 1d12 + MOVE psychic damage on a hit. If the natural attack roll is higher than 10, the opponent has disadvantage on its next attack.",1d12+Move,2d8+Move,2d12+Move,6d6+Move
Misty Terrain,Fairy,None,1 action,5,3 rounds,60ft,"You cover the ground in a thin, healing mist that surrounds a 60 foot circle, centered on you. For 3 turns, no grounded creatures inside the mist can suffer from new status conditions. Grounded creatures are those that do not have a flying speed or Levitate, Magnet Rise, or similar ability.",,,,
Moonblast,Fairy,DEX/CHA,1 action,10,Instantaneous,30ft,"You summon forth a powerful moonbeam that strikes an opponent. Make a ranged attack on a target in range, dealing 2d8 + MOVE fairy damage on a hit. On a natural attack roll of 15 or more, the target has disadvantage on its next attack.",2d8+Move,2d10+Move,3d10+Move,4d12+Move
Moonlight,Fairy,WIS/CHA,1 action,3,Instantaneous,Self,"A ray of moonlight shines upon you, basking you in healing light. The user gains 2d6 + MOVE hit points.",2d6+Move,3d6+Move,5d6+Move,8d6+Move
Morning Sun,Normal,WIS/CHA,1 action,3,Instantaneous,Self,"A ray of sunlight shines upon you, basking you in healing light. The user gains 2d6 + MOVE hit points.",2d6+Move,3d6+Move,4d6+Move,5d6+Move
Mud Bomb,Ground,STR/DEX,1 action,5,Instantaneous,40ft,"You throw a hard-packed mud ball at an opponent. Make a ranged attack, dealing 1d10 + MOVE ground damage on a hit. On a hit, the target must make a CON save against your Move DC. On a failure, the target has disadvantage on its next attack roll. If activating a move that requires a save, the target(s) have advantage.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Mud Shot,Ground,DEX,1 action,10,Instantaneous,60ft,"You fire a glob of mud at an opponent, dealing damage with a chance to hinder your opponent's movement. Make a ranged attack against an opponent in range, dealing 1d8 + MOVE ground damage on a hit. If the natural attack roll is higher than 15, the opponent's speed becomes 0 until the end of its next turn.",1d8+Move,2d6+Move,4d4+Move,3d10+Move
Mud Sport,Ground,None,1 action,10,1 minute,5ft,"You cover yourself and all allies around you with thick mud, reducing the amount of electric damage taken for anyone affected. For the duration, you and any ally in range (when you initially activated this move) have resistance to electric-type attacks. If you were already resistant, you are now immune. If you were vulnerable, you now take regular damage. If you are immune to electric-type moves already, nothing happens.",,,,
Mud-Slap,Ground,STR/DEX,1 action,5,Instantaneous,40ft,"You hurl mud  at a target in range. Make a ranged attack roll, doing 1d4 + MOVE ground damage on a hit. On a hit, the target adds -1 to its attack rolls for the rest of the encounter. This decrease may be stacked, up to a maximum of -5 to hit. The target may take an action to remove any mud from its face, resetting the effect.",1d4+Move,2d4+Move,1d12+Move,4d4+Move
Muddy Water,Water,DEX/CON,1 action,5,Instantaneous,30ft,"You fire a stream of muddy water at an opponent in range. Make a ranged attack against an opponent, dealing 2d8 + MOVE water damage. If the natural attack roll is 15 or higher, the opponent has disadvantage on its next attack.",2d8+Move,2d10+Move,3d10+Move,4d12+Move
Mystical Fire,Fire,DEX,1 action,5,Instantaneous,30ft,"You summon forth a pair of mystical flames that dance around a target, dealing damage. Make a ranged attack roll against a target, dealing 1d12 + MOVE fire damage on a hit. If the target is hit with this attack, any attack roll it makes before the end of its next turn is rolled at disadvantage.",1d12+Move,2d8+Move,2d12+Move,6d6+Move
Nasty Plot,Dark,None,1 action,10,"1 minute, Concentration",Self,"You stimulate your brain with nasty thoughts. For the duration, you have advantage on any attacks with the Wisdom move power. If the attack requires a Wisdom saving throw, the target has disadvantage.",,,,
Natural Gift,Varies,STR/DEX,1 action,10,Instantaneous,40ft,"You draw in power from your held berry, releasing it into a ranged attack. Make a ranged attack, dealing 1d12 + MOVE damage on a hit. The type is dependant on what berry you are holding, according to the chart below:

| Type  | Berry|
|  Normal  | Chilan |
|  Fire  | Cherri, Occa |
|  Water  | Chesto, Passho |
|  Electric  | Pecha, Waccan |
|  Grass  | Rawst, Rindo |
|  Ice  | Aspear, Yache |
|  Fighting  | Leppa, Chople |
|  Poison  | Oran, Kebia |
|  Ground  | Persim, Shucca |
|  Flying  | Lum, Coba |
|  Psychic  | Sitrus, Payapa |
|  Bug  | Tanga |
|  Rock  | Charti |
|  Ghost  | Kasib |
|  Dragon  | Haban |
|  Dark  | Colbur |
|  Steel  | Babiri, Razz |
|  Fairy  | Roseli |",1d12+Move,2d8+Move,2d12+Move,6d6+Move
Nature Power,Normal,Varies,1 action,10,Varies,Varies,"You call upon the powers of nature nearby and activate a move based on the terrain. The DM gets final say on what move you activate, but here are example terrain types:

| Terrain  | Move |
|  Cities/Roads/Buildings  | Swift |
|  Sandy areas  | Earthquake |
|  Volcanoes/Lava areas  | Fire Blast |
|  Caves, Dark areas  | Shadow Ball |
|  Rocky terrain, Mountains  | Rock Slide |
|  Fields, Plains  | Stun Spore |
|  Forests, Tall Grasslands  | Razor Leaf |
|  Ponds/Swamps  | Bubblebeam |
|  At sea | Surf |
|  Underwater | Hydro Pump |",,,,
Needle Arm,Grass,DEX,1 action,10,Instantaneous,Melee,"Your arms turn to jagged, thorny needles as you strike a foe. Make a melee attack on an opponent, dealing 1d10 + MOVE grass damage on a hit. If the natural attack roll is a 15 or more, the opponent flinches.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Night Daze,Dark,DEX/WIS,1 action,5,Instantaneous,40ft,"A pitch black shockwave of dark energy rushes towards a target. Make a ranged attack roll, dealing 2d6 + MOVE dark damage on a hit. If the natural attack roll is 13 or more, the target rolls its next attack with disadvantage. If it activates a move that requires a saving throw, the target(s) have advantage on the roll.",2d6+Move,2d8+Move,4d6+Move,6d6+Move
Night Shade,Ghost,WIS/INT,1 action,10,Instantaneous,60ft,"You hit an enemy with a necrotic wave of dark energy. Make a ranged attack against a target. On a hit, the ghost damage is equal to 1d6 + the user’s level.",1d6+Level,2d4+Level,1d12+Level,4d4+Level
Night Slash,Dark,STR/DEX,1 action,10,Instantaneous,Melee,"You slash out at an opponent with dark power. Make a melee attack, dealing 1d12 + MOVE dark damage on a hit. This attack scores a critical hit on natural attack rolls of 19 or 20.",1d12+Move,2d8+Move,2d12+Move,6d6+Move
Nightmare,Ghost,WIS/CHA,1 action,10,Instantaneous,60ft,"Only effective against sleeping creatures, you instill a nightmare in their dreams, inflicting 3d6 + MOVE ghost damage automatically.",3d6+Move,4d6+Move,5d6+Move,6d6+Move
Noble Roar,Normal,STR/CHA,1 reaction,3,Instantaneous,Self,"You let out a stunning roar that intimidates your foe. When targeted by an attack, use this reaction to impose disadvantage on the attack roll.",,,,
Nuzzle,Electric,DEX,1 action,10,Instantaneous,Melee,"You touch an opponent with your electrified cheeks, sending electricity coursing through their veins. Make an attack roll against an opponent. On a hit, the target takes 1d4 + MOVE electric damage and is forced to make a CON save against your Move DC, becoming paralyzed on a failure.",1d4+Move,2d4+Move,1d12+Move,4d4+Move
Oblivion Wing,Flying,STR/DEX,1 action,5,Instantaneous,30ft,"You extend your wings and use a dark beam energy to absorb your opponent's life force. Make a range attack against an opponent, dealing 2d6 + MOVE flying damage on a hit, recovering your own hit points by the amount of damage dealt.",2d6+Move,2d8+Move,4d6+Move,6d6+Move
Octazooka,Water,STR/DEX,1 action,5,Instantaneous,30ft,"You send a blast of ink towards your opponents. Make a ranged attack roll, doing 1d10 + MOVE water damage on a hit. If the natural attack roll is 18 or more, the target must add -1 to attack rolls for the remainder of this combat.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Odor Sleuth,Normal,None,1 action,3,"1 minute, Concentration","30ft, Self","When you activate this move, choose a target in range. For the duration, the target cannot activate any move that would increase its AC. If it has already activated such a move, the effect ends immediately. In addition, for the duration, no creature in range has immunity to your Ghost, Normal, or Fighting-type moves.",,,,
Ominous Wind,Ghost,WIS/DEX,1 action,3,Instantaneous,40ft,"You stir up a gust of repulsive wind that strikes an opponent in range. Make a ranged attack, dealing 1d10 + MOVE ghost damage on a hit. On a natural attack roll of 19 or 20, increase all of your ability scores by +1 for three rounds.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Origin Pulse,Water,STR/DEX,1 action,3,Instantaneous,60ft,"Your body glows a bright and brilliant blue, sending three beams of focused light at any creature(s) in range. Make a ranged attack for each beam, dealing 2d6 water damage to any creature(s) you choose on each hit.",3 beams,4 beams,5 beams,6 beams
Outrage,Dragon,STR,1 action,3,"3 rounds, Concentration",Melee,"You go into a rampage, doing several attacks without control for three rounds. This move automatically hits for 1d6 + MOVE dragon damage in the first round, 2d6 + MOVE dragon damage in the second round, and 4d6 + MOVE dragon damage in the third round. When this move ends, either after the third round or from breaking concentration, you become confused. This attack stops if concentration is broken, or the user becomes incapacitated.",Xd6+Move,Xd8+Move,Xd10+Move,xd12+Move
Overheat,Fire,STR/CON,1 action,3,Instantaneous,15ft,"With a roar, flames burst from your body in a 15 foot circle, centered on you. Any creature in range must roll a DEX saving throw against your Move DC, taking 5d4 + MOVE fire damage on a failure, or half as much on a success. The power of the move exhausts you, and your next attack is done at disadvantage. If your next attack requires an opponent saving throw, they have advantage.",5d4+Move,3d10+Move,5d8+Move,8d8+Move
Pain Split,Normal,CON/CHA,1 action,3,Instantaneous,30ft,"You split pain from your injuries with your attacker. Target a creature in range, forcing them to make a CON save against your Move DC. On a fail, both you and your attacker change your current health points to the average of the two. If this causes either creature to go above maximum health, they take their maximum health instead.",,,,
Parabolic Charge,Electric,STR,1 action,10,Instantaneous,30ft,"A sweeping electric charge arcs around you, stealing some of your opponent's energy. Force all creatures in a 30 ft circle, centered on you, to make a CON save against your Move DC, taking 1d10 + MOVE electric damage on a failure. Recover hit points equal to half the total damage dealt, but no more than 5 times your level.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Parting Shot,Dark,CHA,1 bonus action,10,Instantaneous,50ft,"You deliver a brutal parting threat just before switching out. Force a creature in range to make a WIS save against your Move DC, then switch out immediately. On a failure, the target deals half damage on their next turn if using a damaging move.",,,,
Pay Day,Normal,STR/DEX/CHA,1 action,10,Instantaneous,Melee,"You strike a target, causing it to shake out its purse. Make a melee attack, doing 1d6 + MOVE normal damage on a hit. In addition, 10x the user’s level in cash is scattered on the floor until the end of combat. This release of funds can only occur once per target per combat.",1d6+Move,1d12+Move,2d8+Move,4d6+Move
Payback,Dark,STR/DEX,1 action,5,Instantaneous,Melee,"You strike hard in retaliation. Make a melee attack, dealing 1d8 + MOVE dark damage on a hit. If the target damaged you on the turn immediately before yours, double the dice roll for the damage of this attack.",1d8+Move,2d6+Move,4d4+Move,3d10+Move
Peck,Flying,STR/DEX,1 action,20,Instantaneous,Melee,"You hammer down on an enemy with a peck attack. Make a melee attack roll on a target, doing 1d6 + MOVE flying damage on a successful hit.",1d6+Move,1d10+Move,2d8+Move,5d4+Move
Perish Song,Normal,CHA,1 action,3,3 rounds,80ft,"You perform a song with devastating consequences to creature that hear it. All creature in range (including you) must make a CON saving throw against your Move DC. For any that fail, they faint in 3 rounds, on their turn, unless switched out by their trainer before the end of the three rounds.",,,,
Petal Blizzard,Grass,DEX,1 action,10,Instantaneous,30ft,"You stir up a blizzard of sharp petals that swirl around you. Any creature in a 30 ft circle, centered on you, must make a DEX save against your Move DC, taking 2d8 + MOVE grass damage on a failure, or half as much on a success.",2d8+Move,2d10+Move,3d10+Move,4d12+Move
Petal Dance,Grass,DEX/CHA,1 action,5,Instantaneous,80ft,"You dance around, releasing a flurry of sharp leaf attacks against a creature in range. Make a ranged attack roll, dealing 1d10 + MOVE grass damage on a hit. On the following turn, you may choose to use this action again to hit automatically, but if you do, you become confused at the end of your turn.",1d10+Move,2d6+Move,3d6+Move,4d6+Move
Phantom Force,Ghost,DEX/WIS,1 action,3,Instantaneous,Melee,"You disappear from view and prepare to surprise your enemy with an attack. When you activate this move, you become invisible and immune to any attacks of opportunity. You cannot be targeted by attacks while you are invisible. On your next turn, you use may your action to reappear and make a melee attack against a creature, with advantage, dealing 2d8 + MOVE ghost damage on a successful hit. Protect and Detect reactions may not be used when hit by this attack.",2d8+Move,2d10+Move,3d10+Move,4d12+Move
Pin Missile,Bug,DEX,1 action,10,Instantaneous,60ft,"You strike a creature with sharp projectiles in quick succession. Make a ranged attack roll, doing 1d4 + MOVE bug damage on a hit. After successfully hitting a target, roll a d4. On a result of 3 or 4, another projectile hits again for an additional 1d4 bug damage. Continue this process until you fail to roll a 3 or 4 on the d4 roll, up to a maximum of four additional hits.",1d4+Move,2d4+Move,1d12+Move,4d4+Move
Play Nice,Normal,CHA,1 action,10,Instantaneous,30ft,"You convince a creature that you mean it no harm. Force a creature to make a CHA saving throw against your Move DC. On a failure, any attack the target makes on its next turn is rolled at disadvantage. If the target activates a move that requires a saving throw, you have advantage on the roll.",,,,
Play Rough,Fairy,DEX/CHA,1 action,5,Instantaneous,Melee,"You fake an opponent out with a playful attack that quickly becomes too rough. Make a melee attack against an opponent, dealing 2d8 + MOVE fairy damage on a hit. On natural attack rolls of 19 or 20, the target adds -1 to any attack it makes for the remainder of combat. This effect can be stacked to a maximum of -5 to hit.",2d8+Move,2d10+Move,3d10+Move,4d12+Move
Pluck,Flying,DEX,1 action,10,Instantaneous,Melee,"You peck at a foe, attempting to grab their held berry. Make a melee attack on an opponent, dealing 1d10 + MOVE flying damage on a hit. On a hit, if the target is holding a berry, you swallow it immediately and gain its effect.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Poison Fang,Poison,DEX,1 action,10,Instantaneous,Melee,"You lash forward with poisonous venom. Make a melee attack roll against an opponent, dealing 1d8 + MOVE poison damage on a hit, forcing the opponent to make a CON save against your Move DC. On a failure, the foe is poisoned. A creature poisoned by this move takes double the normal poison damage at the end of each of its turns.",1d8+Move,2d6+Move,4d4+Move,3d10+Move
Poison Gas,Poison,CON,1 action,5,"1 minute, concentration",40ft,"You release a toxic cloud of poisonous gas in a 10 foot radius, centered on a point within range. Any creature that starts their turn in this area must succeed on a CON save against your Move DC, taking 1d6 + MOVE poison damage on a failure, or half as much on a success. Creatures that fail this save by more than 5 become poisoned.",1d6+Move,2d4+Move,1d12+Move,4d4+Move
Poison Jab,Poison,STR/DEX,1 action,10,Instantaneous,Melee,"You stab an opponent with an appendage steeped in poison. Make a melee attack on an opponent, dealing 2d6 + MOVE poison damage on a hit. On a natural attack roll of 16 or higher, the target is poisoned.",2d6+Move,2d8+Move,4d6+Move,6d6+Move
Poison Powder,Poison,CON,1 action,20,Instantaneous,40ft,"You release a cluster of poisonous spores that burst into the air above a target. The creature must succeed on a CON save against your Move DC, becoming poisoned on a fail.",,,,
Poison Sting,Poison,STR/DEX,1 action,15,Instantaneous,Melee,"You strike out at a creature with a poisonous sting. Make a melee attack roll against a target, doing 1d4 + MOVE poison damage on a hit. If the natural attack roll is 18 or more, the creature is poisoned.",1d4+Move,1d6+Move,1d8+Move,2d6+Move
Poison Tail,Poison,DEX,1 action,15,Instantaneous,Melee,"Poisonous barbs sprout from your tail as you swing it at an opponent. Make a melee attack against an opponent, dealing 1d8 + MOVE poison damage on a hit. If the natural attack roll is a 19 or 20, the move scores a critical hit and the target is poisoned.",1d8+Move,2d6+Move,4d4+Move,3d10+Move
Pound,Normal,STR/DEX,1 action,20,Instantaneous,Melee,"You crush an opponent with a pound attack. Make a melee attack roll against a target, doing 1d6 + MOVE normal damage on a hit.",1d6+Move,1d12+Move,2d8+Move,4d6+Move
Powder,Bug,CON,1 action,10,Instantaneous,15ft,"You coat a creature in an explosive powder. If the target uses a fire-type move before the end of its next turn, the powder explodes and automatically deals 2d8+MOVE typeless damage to the target.",2d8+Move,2d10+Move,3d10+Move,4d12+Move
Powder Snow,Ice,DEX,1 action,15,Instantaneous,40ft,"You send a blast of cold snow at an opponent. Make a ranged attack roll on an opponent, doing 1d6 + MOVE cold damage on a hit. If the natural attack roll is 18 or higher, the target is frozen.",1d6+Move,1d12+Move,2d8+Move,4d6+Move
Power Gem,Rock,DEX/CHA,1 action,10,Instantaneous,40ft,"A ray of light bursts out of your gemstone, damaging an opponent in range. Make a ranged attack, dealing 2d6 + MOVE rock damage on a hit.",2d6+Move,2d8+Move,4d6+Move,6d6+Move
Power Split,Psychic,INT/WIS,1 action,5,"1 minute, Concentration",30ft,"You use your psychic power to change your offense to match your opponent's the best you can. Force an opponent in range to make a CHA save against your Move DC. On a failure, choose either your STR, DEX, or WIS. For the duration, replace the chosen ability score with the average of your current score and your opponent's score.",,,,
Power Swap,Psychic,WIS/INT,1 bonus action,3,1 round,40ft,"As a bonus action, force an opponent in range to make a WIS save against your Move DC. On a failure, you employ your psychic power to swap a single ability score with an opponent until the end of their next turn, for purposes of attack and damage rolls.",,,,
Power Trick,Psychic,None,1 bonus action,5,1 round,Self,"You employ your psychic power to switch your own attack and defense. Until the end of your next turn, switch your AC with an ability score of your choice (Constitution not included)",,,,
Power Whip,Grass,STR/DEX,1 action,5,Instantaneous,Melee,"You violently whirl your tentacles or vines towards a foe. Make a melee attack against an opponent, dealing 2d10 + MOVE grass damage on a hit",2d10+Move,3d8+Move,4d10+Move,7d8+Move
Power-Up Punch,Fighting,STR,1 action,10,Instantaneous,Melee,"You strike out with a powerful punch that increases in strength the more you hit. Make a melee attack on a target, dealing 1d6 + MOVE fighting damage on a successful hit against the same opponent. For each successful hit, add an additional damage dice, with a maximum number of damage dice equal to double the original amount. The damage resets if you miss or target a different opponent.",1d6+Move,2d6+Move,3d6+Move,4d6+Move
Precipice Blades,Ground,STR,1 action,5,Instantaneous,100ft,"You gather in the natural energy of the land around you and manifest all of the power into fearsome blades of stone. Make three ranges attack rolls against any creature(s) in range, dealing 1d10 + MOVE ground damage on each successful hit.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
