Index Number,Evo Stages with Eviolite,Evo Stages w/o Eviolite,Pokémon,Type,SR,AC,Hit Dice,HP,,,WSp,Ssp,Fsp,Senses,STR,DEX,CON,INT,WIS,CHA,MIN LVL FD,Ev,Evolve,Evo Stages,ST1,ST2,ST3,Skill,Res,Vul,Imm,Ability1,Ability2,HiddenAbility,Moves,Evolution for sheet,Evolve Bonus,Climbing Speed,Burrowing Speed,Description 17
414,2,2,Mothim,Bug/Flying,4,13,10,45,,,15,,30,Darkvision 50ft,13,15,13,6,12,10,5,6,,2,DEX,,,"Nature, Survival","Bug, Fighting, Grass","Electric, Fire, Flying, Ice, Rock",Ground,Swarm,,Tinted Lens,"Starting Moves: Bug Bite, Protect, Quiver Dance, Tackle
Level 6: Hidden Power, Confusion
Level 10: Gust, Poison Powder, Psybeam
Level 14: Camouflage, Silver Wind, Air Slash
Level 18: Psychic, Bug Buzz

TM: 06, 09, 10, 11, 15, 17, 18, 19, 20, 21, 22, 27, 29, 30, 32, 40, 42, 44, 45, 46, 48, 53, 62, 68, 77, 83, 85, 87, 88, 89, 90, 100

Abilities: Swarm
Hidden Ability: Tinted Lens",,,15,,It loves the honey of flowers and steals honey collected by COMBEE.
415,1,2,Combee,Bug/Flying,0.25,13,6,16,,,10,,35,,10,13,10,6,10,10,1,,Vespiquen,2,DEX,,,Acrobatics,"Bug, Fighting, Grass","Electric, Fire, Flying, Ice, Rock",Ground,Honey Gather,,Hustle,"Starting Moves: Gust, Sweet Scent
Level 2: Bug Bite
Level 10: Bug Buzz


Abilities: Honey Gather
Hidden Ability: Hustle","A female Combee can evolve into Vespiquen at level 7 and above. When it evolves, its health increases by double its level, and it gains 17 points to add to its ability scores (max 20).",17,10,,A Pokémon formed by three others. It busily carries sweet floral honey to VESPIQUEN.
416,2,2,Vespiquen,Bug/Flying,8,17,10,55,,,20,,25,,16,15,17,6,12,10,5,7,,2,DEX,CON,,Survival,"Bug, Fighting, Grass","Electric, Fire, Flying, Ice, Rock",Ground,Pressure,,Unnerve,"Starting Moves: Confuse Ray, Destiny Bond, Gust, Poison Sting, Slash, Sweet Scent, Fury Cutter, Pursuit, Fury Swipes, Fell Stinger
Level 6: Defend Order
Level 10: Power Gem, Heal Order
Level 14: Toxic, Air Slash, Captivate
Level 18: Attack Order, Swagger

TM: 06, 09, 10, 11, 15, 17, 18, 19, 21, 27, 32, 36, 40, 42, 44, 45, 46, 48, 56, 60, 62, 68, 81, 83, 87, 88, 89, 90, 100

Abilities: Pressure
Hidden Ability: Unnerve",,,15,,Its abdomen is a honeycomb for grubs. It raises its grubs on honey collected by COMBEE.
417,1,1,Pachirisu,Electric,6,16,8,20,,,35,,,,13,18,15,6,12,10,1,,,1,DEX,,,"Acrobatics, Perception","Electric, Flying, Steel",Ground,,Run Away,Pickup,Volt Absorb,"Starting Moves: Bide, Growl
Level 2: Quick Attack, Charm, Spark
Level 6: Endure, Swift, Nuzzle
Level 10: Electro Ball, Sweet Kiss, Thunder Wave
Level 14: Super Fang, Discharge
Level 18: Last Resort, Hyper Fang

TM: 06, 10, 16, 17, 18, 21, 24, 25, 27, 32, 42, 44, 45, 48, 49, 56, 57, 72, 73, 86, 87, 88, 89, 90, 100

Abilities: Run Away, Pickup
Hidden Ability: Volt Absorb",,,35,,It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.
418,1,2,Buizel,Water,0.5,12,6,17,,,30,,,,10,16,12,6,10,10,1,,Floatzel,2,DEX,,,Survival,"Fire, Ice, Steel, Water","Electric, Grass",,Swift Swim,,Water Veil,"Starting Moves: Sonic Boom, Growl
Level 2: Water Sport, Quick Attack
Level 6: Water Gun, Pursuit, Swift
Level 10: Aqua Jet, Double Hit, Whirlpool
Level 14: Razor Wind, Aqua Tail, Agility
Level 18: Hydro Pump

TM: 06, 07, 08, 10, 13, 14, 17, 18, 21, 27, 31, 32, 39, 42, 44, 45, 48, 49, 55, 87, 88, 90, 94, 98, 100

Abilities: Swift Swim
Hidden Ability: Water Veil","Buizel can evolve into Floatzel at level 8 and above. When it evolves, its health increases by double its level, and it gains 14 points to add to its ability scores (max 20).",14,20,,It has a flotation sac that is like an inflatable collar. It floats on water with its head out.
419,2,2,Floatzel,Water,8,14,10,55,,,40,40,,,14,20,16,6,12,10,5,8,,2,DEX,,,"Survival, Medicine","Fire, Ice, Steel, Water","Electric, Grass",,Swift Swim,,Water Veil,"Starting Moves: Crunch, Growl, Ice Beam, Quick Attack, Sonic Boom, Water Sport
Level 6: Water Gun, Pursuit, Swift
Level 10: Aqua Jet, Double Hit
Level 14: Whirlpool, Razor Wind
Level 18: Aqua Tail, Agility, Hydro Pump

TM: 05, 06, 07, 08, 10, 12, 13, 14, 15, 17, 18, 21, 27, 31, 32, 39, 41, 42, 44, 45, 48, 49, 52, 55, 66, 68, 87, 88, 90, 94, 98, 100

Abilities: Swift Swim
Hidden Ability: Water Veil",,,30,,It floats using its well-developed flotation sac. It assists in the rescues of drowning people.
420,1,2,Cherubi,Grass,0.25,12,6,17,,,15,,,,11,10,13,6,10,10,1,,Cherrim,2,CON,,,Survival,"Electric, Grass, Ground, Water","Bug, Fire, Flying, Ice, Poison",,Chlorophyll,,,"Starting Moves: Morning Sun, Tackle
Level 2: Growth, Leech Seed, Helping Hand
Level 6: Magical Leaf, Sunny Day
Level 10: Worry Seed, Take Down
Level 14: Solar Beam, Lucky Chant
Level 18: Petal Blizzard

TM: 06, 10, 11, 17, 20, 21, 22, 27, 32, 42, 44, 45, 48, 53, 75, 86, 87, 88, 90, 96, 99, 100

Abilities: Chlorophyll
","Cherubi can evolve into Cherrim at level 7 and above. When it evolves, its health increases by double its level, and it gains 15 points to add to its ability scores (max 20).",15,,,"The small ball holds the nutrients needed for evolution. Apparently, it is very sweet and tasty."
421,2,2,Cherrim,Grass,8,15,10,55,,,25,,,,14,16,17,6,12,10,5,7,,2,CON,,,Survival,"Electric, Grass, Ground, Water","Bug, Fire, Flying, Ice, Poison",,Flower Gift,,,"Starting Moves: Growth, Leech Seed, Morning Sun, Petal Dance, Helping Hand
Level 6: Magical Leaf, Sunny Day
Level 10: Worry Seed
Level 14: Take Down, Solar Beam, 
Level 18: Lucky Chant, Petal Blizzard

TM: 06, 10, 11, 15, 17, 20, 21, 22, 27, 32, 42, 44, 45, 48, 53, 68, 75, 86, 87, 88, 90, 96, 99, 100

Abilities: Flower Gift
","Cherrim changes appearance depending on the weather. In strong sunlight, it blossoms into Sunshine Form.",,,,It blooms during times of strong sunlight. It tries to make up for everything it endured as a bud.
422,1,2,Shellos,Water,2,13,8,21,,,20,20,,,13,10,16,6,10,10,1,,Gastrodon,2,CON,,,Survival,"Fire, Ice, Steel, Water","Electric, Grass",,Sticky Hold,Storm Drain,Sand Force,"Starting Moves: Mud-Slap, Mud Sport, Harden
Level 2: Water Pulse, Mud Bomb
Level 6: Hidden Power, Rain Dance
Level 10: Body Slam
Level 14: Muddy Water
Level 18: Recover

TM: 06, 07, 10, 13, 14, 17, 18, 21, 27, 32, 42, 44, 45, 48, 55, 83, 87, 88, 90, 94, 100

Abilities: Sticky Hold, Storm Drain
Hidden Ability: Sand Force","Shellos can evolve into Gastrodon at level 8 and above. When it evolves, its health increases by double its level, and it gains 12 points to add to its ability scores (max 20).",12,15,,"Its colors and shapes differ from region to region. In the Sinnoh region, two types are confirmed."
423,2,2,Gastrodon,Water/Ground,9,14,12,71,,,20,20,,,16,13,20,6,12,10,5,8,,2,CON,STR,,Survival,"Fire, Poison, Rock, Steel",Grass,Electric,Sticky Hold,Storm Drain,Sand Force,"Starting Moves: Harden, Mud-Slap, Mud Sport, Water Pulse, Mud Bomb
Level 6: Hidden Power, Rain Dance
Level 10: Body Slam
Level 14: Muddy Water
Level 18: Recover

TM: 06, 07, 10, 13, 14, 15, 17, 18, 21, 26, 27, 32, 34, 36, 37, 39, 42, 44, 45, 48, 55, 68, 71, 78, 80, 83, 87, 88, 90, 94, 98, 100

Abilities: Sticky Hold, Storm Drain
Hidden Ability: Sand Force",,,15,,"It has a pliable body without any bones. If any part of its body is torn off, it grows right back."
424,2,2,Ambipom,Normal,11,15,10,94,,,40,,,,15,19,16,6,12,10,8,10,,2,DEX,,,"Acrobatics, Sleight of Hand",None,Fighting,Ghost,Technician,Pickup,Skill Link,"Starting Moves: Astonish, Dual Chop, Sand Attack, Scratch, Tail Whip, Baton Pass, Tickle, Fury Swipes, Swift
Level 10: Screech, Agility, Double Hit
Level 14: Fling, Nasty Plot
Level 18: Last Resort

TM: 01, 06, 10, 11, 12, 15, 17, 18, 21, 22, 24, 25, 27, 30, 31, 32, 40, 42, 44, 45, 46, 47, 48, 56, 62, 65, 66, 68, 73, 85, 86, 87, 88, 89, 90, 100

Abilities: Technician, Pickup
Hidden Ability: Skill Link",,,40,,"To eat, it deftly shucks nuts with its two tails. It rarely uses its arms now."
425,1,2,Drifloon,Ghost/Flying,2,12,10,23,,,0,,25,,10,14,16,6,10,10,1,,Drifblim,2,CON,,,Survival,"Bug, Grass, Poison","Dark, Electric, Ghost, Ice, Rock","Fighting, Ground, Normal",Aftermath,Unburden,Flare Boost,"Starting Moves: Constrict, Minimize, Astonish
Level 2: Gust, Focus Energy
Level 6: Payback, Ominous Wind
Level 10: Stockpile, Hex, Spit Up, Swallow
Level 14: Shadow Ball, Amnesia
Level 18: Baton Pass, Explosion

TM: 04, 06, 10, 11, 17, 18, 21, 24, 25, 27, 29, 30, 32, 42, 44, 45, 46, 48, 57, 61, 62, 63, 64, 66, 73, 74, 77, 85, 87, 88, 90, 100

Abilities: Aftermath, Unburden
Hidden Ability: Flare Boost","Drifloon can evolve into Drifblim at level 8 and above. When it evolves, its health increases by double its level, and it gains 11 points to add to its ability scores (max 20).",11,,,"A Pokémon formed by the spirits of people and Pokémon. It loves damp, humid seasons."
426,2,2,Drifblim,Ghost/Flying,9,13,12,77,,,0,,30,,13,16,20,6,12,10,5,8,,2,CON,,,Survival,"Bug, Grass, Poison","Dark, Electric, Ghost, Ice, Rock","Fighting, Ground, Normal",Aftermath,Unburden,Flare Boost,"Starting Moves: Astonish, Constrict, Gust, Minimize, Focus Energy
Level 6: Payback, Ominous Wind
Level 10: Stockpile, Hex
Level 14: Spit Up, Swallow, Shadow Ball
Level 18: Amnesia, Baton Pass, Explosion

TM: 04, 06, 10, 11, 15, 17, 18, 21, 24, 25, 27, 29, 30, 32, 42, 44, 45, 46, 48, 57, 61, 62, 63, 64, 66, 68, 73, 74, 76, 77, 85, 87, 88, 90, 100

Abilities: Aftermath, Unburden
Hidden Ability: Flare Boost",,,,,"It’s drowzy in daytime, but flies off in the evening in big groups. No one knows where they go."
427,1,2,Buneary,Normal,2,13,6,17,,,30,,,Darkvision 30ft,14,15,13,6,10,10,1,,Lopunny,2,DEX,,,Perception,None,Fighting,Ghost,Run Away,Klutz,Limber,"Starting Moves: Defense Curl, Foresight, Frustration, Pound, Splash
Level 2: Endure, Baby-Doll Eyes
Level 6: Quick Attack, Jump Kick
Level 10: Baton Pass, Agility
Level 14: Dizzy Punch, After You, Charm
Level 18: Entrainment, Bounce, Healing Wish

TM: 01, 06, 10, 11, 13, 17, 18, 21, 22, 24, 27, 30, 32, 42, 44, 45, 48, 56, 57, 73, 86, 87, 88, 90, 100

Abilities: Run Away, Klutz
Hidden Ability: Limber","Buneary can evolve into Lopunny at level 7 and above if its Loyalty level is +2 or higher. When it evolves, its health increases by double its level, and it gains 9 points to add to its ability scores (max 20).",9,,,It slams foes by sharply uncoiling its rolled ears. It stings enough to make a grown-up cry in pain.
428,2,2,Lopunny,Normal,9,17,10,55,,,40,,,Darkvision 60ft,16,17,16,6,12,10,5,7,,2,DEX,,,Perception,None,Fighting,Ghost,Cute Charm,Klutz,Limber,"Starting Moves: Defense Curl, Foresight, Magic Coat, Mirror Coat, Pound, Return, Splash, Endure, Baby-Doll Eyes, Rototiller
Level 6: Quick Attack, Jump Kick
Level 10: Baton Pass, Agility
Level 14: Dizzy Punch, After You, Charm
Level 18: Entrainment, Bounce, Healing Wish, High Jump Kick

TM: 01, 06, 10, 11, 13, 14, 15, 17, 18, 21, 22, 24, 25, 27, 30, 32, 42, 44, 45, 47, 48, 52, 56, 57, 59, 68, 73, 86, 87, 88, 90, 100

Abilities: Cute Charm, Klutz
Hidden Ability: Limber",,,,,An extremely cautious Pokémon. It cloaks its body with its fluffy ear fur when it senses danger.
429,2,2,Mismagius,Ghost,12,16,10,83,,,0,,40,"Darkvision 60ft, Truesight 15ft",16,18,16,6,12,16,8,10,,2,WIS,CHA,,"Stealth, Deception","Bug, Poison","Dark, Ghost","Fighting, Normal",Levitate,,,"Starting Moves: Astonish, Growl, Lucky Chant, Magical Leaf, Power Gem, Psywave, Spite, Mystical Fire, Phantom Force

TM: 04, 06, 10, 11, 12, 15, 17, 18, 21, 24, 25, 27, 29, 30, 32, 40, 41, 42, 44, 45, 46, 48, 49, 53, 57, 61, 63, 66, 68, 73, 77, 85, 87, 88, 90, 92, 97, 99, 100

Abilities: Levitate
",,,,,Its cries sound like incantations. Those hearing it are tormented by headaches and hallucinations.
430,2,2,Honchkrow,Dark/Flying,10,13,12,89,,,20,,40,Darkvision 80ft,16,17,15,6,14,10,8,10,,2,WIS,DEX,,"Stealth, Insight","Dark, Ghost, Grass","Electric, Fairy, Ice, Rock","Ground, Psychic",Insomnia,Super Luck,Moxie,"Starting Moves: Astonish, Haze, Night Slash, Pursuit, Sucker Punch, Wing Attack
Level 10: Swagger
Level 14: Nasty Plot
Level 18: Foul Play, Quash, Dark Pulse

TM: 04, 06, 10, 11, 12, 15, 17, 18, 19, 21, 27, 29, 30, 32, 40, 41, 42, 44, 45, 46, 48, 51, 60, 63, 66, 68, 73, 76, 77, 85, 87, 88, 90, 95, 97, 100

Abilities: Insomnia, Super Luck
Hidden Ability: Moxie",,,,,"Becoming active at night, it is known to swarm with numerous MURKROW in tow."
431,1,2,Glameow,Normal,2,13,6,17,,,30,,,Darkvision 30ft,10,15,12,6,10,14,1,,Purugly,2,DEX,CHA,,"Stealth, Perception",None,Fighting,Ghost,Limber,Own Tempo,Keen Eye,"Starting Moves: Fake Out
Level 2: Growl, Scratch, Hypnosis
Level 6: Feint Attack, Fury Swipes
Level 10: Charm, Assist, Captivate
Level 14: Slash, Sucker Punch
Level 18: Attract, Hone Claws, Play Rough

TM: 01, 06, 10, 11, 12, 17, 18, 21, 24, 25, 27, 30, 32, 40, 41, 42, 44, 45, 46, 48, 49, 65, 66, 77, 85, 87, 88, 89, 90, 100

Abilities: Limber, Own Tempo
Hidden Ability: Keen Eye","Glameow can evolve into Purugly at level 10 and above. When it evolves, its health increases by double its level, and it gains 8 points to add to its ability scores (max 20).",8,30,,It claws if displeased and purrs when affectionate. Its fickleness is very popular among some.
432,2,2,Purugly,Normal,8,15,10,50,,,35,,,Darkvision 60ft,14,18,15,6,12,10,5,10,,2,DEX,,,"Perception, Intimidation",None,Fighting,Ghost,Thick Fat,Own Tempo,Defiant,"Starting Moves: Fake Out, Growl, Scratch, Swagger, Hypnosis
Level 6: Feint Attack, Fury Swipes
Level 10: Charm, Assist, Captivate
Level 14: Slash, Body Slam
Level 18: Attract, Hone Claws

TM: 01, 05, 06, 10, 11, 12, 15, 17, 18, 21, 24, 25, 27, 30, 32, 40, 41, 42, 44, 45, 46, 48, 49, 65, 66, 68, 77, 78, 85, 87, 88, 89, 90, 100

Abilities: Thick Fat, Own Tempo
Hidden Ability: Defiant",,,35,,It is a brazen brute that barges its way into another Pokémon’s nest and claims it as its own.
433,1,2,Chingling,Psychic,1,13,6,17,,,25,,,,11,11,12,6,12,10,1,,Chimecho,2,WIS,,,"Performance,","Fighting, Psychic","Bug, Dark, Ghost",,Levitate,,,"Starting Moves: Wrap, Growl
Level 2: Astonish, Confusion, Yawn
Level 6: Last Resort, Entrainment
Level 10: Uproar

TM: 03, 04, 06, 10, 11, 12, 16, 17, 18, 20, 21, 27, 29, 30, 32, 33, 41, 42, 44, 45, 48, 49, 57, 73, 77, 85, 86, 87, 88, 90, 92, 99, 100

Abilities: Levitate
","Chingling can evolve into Chimecho at level 6 and above when its loyatly is +2 or higher. When it evolves, its health increases by double its level, and it gains 16 points to add to its ability scores (max 20).",16,,,It emits cries by agitating an orb at the back of its throat. It moves with flouncing hops.
434,1,2,Stunky,Poison/Dark,0.5,13,8,20,,,25,,,Darkvision 30ft,11,14,14,6,10,8,1,,Skuntank,2,CON,,,Survival,"Dark, Grass, Ghost, Poison",Ground,Psychic,Stench,Aftermath,Keen Eye,"Starting Moves: Focus Energy, Scratch, Poison Gas
Level 2: Screech, Fury Swipes, Smokescreen
Level 6: Feint, Acid Spray, Bite
Level 10: Slash, Toxic, Night Slash
Level 14: Memento, Sucker Punch, Venom Drench
Level 18: Explosion, Belch

TM: 05, 06, 09, 10, 11, 12, 17, 18, 21, 27, 30, 32, 35, 36, 38, 41, 42, 44, 45, 46, 48, 64, 65, 66, 87, 88, 90, 95, 97, 100

Abilities: Stench, Aftermath
Hidden Ability: Keen Eye","Stunky can evolve into Skuntank at level 10 and above. When it evolves, its health increases by double its level, and it gains 12 points to add to its ability scores (max 20).",12,15,,It protects itself by spraying a noxious fluid from its rear. The stench lingers for 24 hours.
435,2,2,Skuntank,Poison/Dark,8,14,12,66,,,35,,,Darkvision 60ft,15,16,18,6,12,8,5,13,,2,CON,,,Survival,"Dark, Grass, Ghost, Poison",Ground,Psychic,Stench,Aftermath,Keen Eye,"Starting Moves: Focus Energy, Flamethrower, Scratch, Poison Gas, Screech, Fury Swipes, Smokescreen
Level 6: Feint, Acid Spray, Bite
Level 10: Slash, Toxic, Night Slash
Level 14: Memento, Sucker Punch, Venom Drench
Level 18: Explosion, Belch

TM: 05, 06, 09, 10, 11, 12, 15, 17, 18, 21, 27, 30, 32, 35, 36, 38, 41, 42, 44, 45, 46, 48, 64, 65, 66, 68, 84, 87, 88, 90, 95, 97, 100

Abilities: Stench, Aftermath
Hidden Ability: Keen Eye",,,20,,It sprays a vile-smelling fluid from the tip of its tail to attack. Its range is over 160 feet.
436,1,2,Bronzor,Steel/Psychic,2,15,6,19,,,0,,15,Darkvision 30ft,12,8,16,6,14,10,1,,Bronzong,2,CON,,,"History, Religion","Dragon, Fairy, Flying, Grass, Ice, Normal, Psychic, Rock, Steel","Dark, Fire, Ghost, Ground",Poison,Levitate,Heatproof,Heavy Metal,"Starting Moves: Confusion, Tackle
Level 2: Hypnosis, Imprison, Confuse Ray
Level 6: Psywave, Iron Defense, Feint Attack
Level 10: Safeguard, Future Sight, Metal Sound
Level 14: Gyro Ball, Extrasensory, Payback
Level 18: Heal Block, Heavy Slam

TM: 03, 04, 06, 10, 11, 16, 17, 18, 20, 21, 22, 26, 27, 29, 30, 32, 33, 37, 39, 42, 44, 48, 57, 66, 69, 74, 77, 78, 80, 85, 86, 87, 88, 90, 91, 92, 100

Abilities: Levitate, Heatproof
Hidden Ability: Heavy Metal","Bronzor can evolve into Bronzong at level 9 and above. When it evolves, its health increases by double its level, and it gains 17 points to add to its ability scores (max 20).",17,,,Implements shaped like it were discovered in ancient tombs. It is unknown if they are related.
437,2,2,Bronzong,Steel/Psychic,11,17,10,60,,,0,,20,Darkvision 60ft,18,11,18,8,18,10,5,9,,2,CON,STR,,"History, Religion","Dragon, Fairy, Flying, Grass, Ice, Normal, Psychic, Rock, Steel","Dark, Fire, Ghost, Ground",Poison,Levitate,Heatproof,Heavy Metal,"Starting Moves: Block, Confusion, Hypnosis, Imprison, Rain Dance, Sunny Day, Tackle, Confuse Ray
Level 6: Psywave, Iron Defense, Feint Attack
Level 10: Safeguard, Future Sight, Metal Sound
Level 14: Gyro Ball, Extrasensory
Level 18: Payback, Heal Block, Heavy Slam

TM: 03, 04, 06, 10, 11, 15, 16, 17, 18, 20, 21, 22, 26, 27, 29, 30, 32, 33, 37, 39, 42, 44, 48, 57, 64, 66, 68, 69, 74, 77, 78, 80, 85, 86, 87, 88, 90, 91, 92, 100

Abilities: Levitate, Heatproof
Hidden Ability: Heavy Metal",,,,,"One caused a news sensation when it was dug up at a construction site after a 2,000-year sleep."
438,1,2,Bonsly,Rock,1,14,6,17,,,10,,,Tremorsense 30ft,15,8,13,6,10,10,1,,Sudowoodo,2,CON,,,Survival,"Fire, Flying, Normal, Poison","Fighting, Grass, Ground, Steel, Water",,Sturdy,Rock Head,Rattled,"Starting Moves: Copycat, Fake Tears
Level 2: Flail, Low Kick, Rock Throw
Level 6: Mimic, Feint Attack
Level 10: Rock Tomb, Block
Level 14: Rock Slide, Counter, Sucker Punch
Level 18: Double-Edge

TM: 04, 06, 10, 11, 17, 21, 23, 27, 31, 32, 37, 39, 42, 44, 45, 46, 48, 64, 69, 77, 80, 87, 88, 90, 96, 100

Abilities: Sturdy, Rock Head
Hidden Ability: Rattled","Bonsly can evolve into Sudowoodo at the time 'Mimic' is learned. When it evolves, its health increases by double its level, and it gains 8 points to add to its ability scores (max 20).",8,,,It looks as if it is always crying. It is actually adjusting its body’s fluid levels by eliminating excess.
439,1,2,Mime Jr.,Psychic/Fairy,1,14,6,16,,,25,,,Truesight 5ft,12,12,11,6,14,10,1,,Mr. Mime,2,CHA,,,Performance,"Fighting, Psychic","Ghost, Poison, Steel",Dragon,Soundproof,Filter,Technician,"Starting Moves: Barrier, Confusion, Pound, Tickle
Level 2: Copycat, Meditate, Double Slap
Level 6: Mimic, Encore, Light Screen, Reflect
Level 10: Psybeam, Substitute, Recycle
Level 14: Trick, Psychic
Level 18: Role Play, Baton Pass, Safeguard

TM: 03, 04, 06, 10, 11, 12, 16, 17, 18, 20, 21, 22, 24, 25, 27, 29, 30, 31, 32, 33, 41, 42, 44, 45, 46, 48, 56, 57, 73, 77, 83, 85, 86, 87, 88, 90, 92, 100

Abilities: Soundproof, Filter
Hidden Ability: Technician","Mime Jr. can evolve into Mr. Mime at the time 'Mimic' is learned. When it evolves, its health increases by double its level, and it gains 8 points to add to its ability scores (max 20).",8,,,"It habitually mimics foes. Once mimicked, the foe cannot take its eyes off this Pokémon."
440,1,2,Happiny,Normal,1,11,10,24,,,25,,,,9,8,18,6,12,10,1,,Chansey,2,CHA,,,Medicine,None,Fighting,Ghost,Natural Cure,Serene Grace,Friend Guard,"Starting Moves: Charm, Pound
Level 2: Copycat, Refresh, Sweet Kiss

TM: 01, 06, 07, 10, 11, 16, 17, 18, 20, 21, 22, 27, 29, 30, 32, 35, 38, 42, 44, 45, 48, 49, 56, 73, 77, 85, 86, 87, 88, 90, 100

Abilities: Natural Cure, Serene Grace
Hidden Ability: Friend Guard","Happiny can evolve into Chansey at level 8 and above with the help of an Oval Stone when its loyatly is +2 or higher. When it evolves, its health increases by double its level, and it gains 8 points to add to its ability scores (max 20).",8,,,It loves round white things. It carries an egg-shaped rock in imitation of CHANSEY.
441,1,1,Chatot,Normal/Flying,5,13,8,40,,,20,,35,,11,16,13,6,12,14,5,,,1,DEX,CHA,,Performance,"Bug, Grass","Electric, Ice, Rock","Ghost, Ground",Keen Eye,Tangled Feet,Big Pecks,"Starting Moves: Confide, Peck, Taunt, Growl, Mirror Move, Sing
Level 6: Fury Attack, Chatter
Level 10: Round
Level 14: Mimic, Echoed Voice, Roost
Level 18: Uproar, Synchronoise, Feather Dance, Hyper Voice

TM: 01, 06, 10, 11, 12, 17, 18, 19, 21, 27, 32, 40, 41, 42, 44, 45, 46, 48, 49, 51, 76, 87, 88, 89, 90, 100

Abilities: Keen Eye, Tangled Feet
Hidden Ability: Big Pecks",,,,,"It can learn and speak human words. If they gather, they all learn the same saying."
442,1,1,Spiritomb,Ghost/Dark,11,17,10,46,,,0,,25,"Darkvision 80ft, Truesight 20ft",18,15,13,10,18,12,5,,,1,WIS,STR,,"History, Arcana",Poison,Fairy,"Fighting, Normal, Psychic",Pressure,,Infiltrator,"Starting Moves: Confuse Ray, Curse, Pursuit, Shadow Sneak, Spite, Feint Attack, Hypnosis
Level 6: Dream Eater
Level 10: Ominous Wind, Sucker Punch
Level 14: Nasty Plot
Level 18: Memento, Dark Pulse

TM: 04, 06, 10, 11, 12, 15, 17, 18, 21, 27, 29, 30, 32, 39, 41, 42, 44, 45, 46, 48, 60, 61, 63, 68, 77, 83, 85, 87, 88, 90, 95, 97, 100

Abilities: Pressure
Hidden Ability: Infiltrator",,,,,A Pokémon that was formed by 108 spirits. It is bound to a fissure in an odd keystone.
443,1,3,Gible,Dragon/Ground,1,12,6,17,,,20,,,Tremorsense 30ft,12,11,13,6,10,10,1,,Gabite,3,CON,,,Survival,"Fire, Poison, Rock","Dragon, Fairy, Ice",Electric,Sand Veil,,Rough Skin,"Starting Moves: Tackle, Sand Attack
Level 2: Dragon Rage, Sandstorm
Level 6: Take Down, Sand Tomb
Level 10: Slash, Dragon Claw, Dig
Level 14: Dragon Rush

TM: 02, 05, 06, 10, 11, 17, 18, 21, 26, 27, 32, 35, 37, 38, 39, 40, 42, 44, 45, 48, 65, 71, 78, 80, 87, 88, 90, 100

Abilities: Sand Veil
Hidden Ability: Rough Skin","Gible can evolve into Gabite at level 7 and above. When it evolves, its health increases by double its level, and it gains 11 points to add to its ability scores (max 20).",11,,,"It nests in small, horizontal holes in cave walls. It pounces to catch prey that stray too close."
444,2,3,Gabite,Dragon/Ground,7,14,8,50,,,30,,,Tremorsense 60ft,14,16,15,6,12,10,5,7,Garchomp,3,DEX,,,"Survival, Medicine","Fire, Poison, Rock","Dragon, Fairy, Ice",Electric,Sand Veil,,Rough Skin,"Starting Moves: Dragon Rage, Dual Chop, Sand Attack, Tackle, Sandstorm
Level 6: Take Down, Sand Tomb
Level 10: Slash
Level 14: Dragon Claw, Dig
Level 18: Dragon Rush

TM: 02, 05, 06, 10, 11, 17, 18, 21, 26, 27, 32, 35, 37, 38, 39, 40, 42, 44, 45, 48, 65, 71, 78, 80, 87, 88, 90, 100

Abilities: Sand Veil
Hidden Ability: Rough Skin","Gabite can evolve into Garchomp at level 16 and above. When it evolves, its health increases by double its level, and it gains 10 points to add to its ability scores (max 20).",10,,,There is a long-held belief that medicine made from its scales will heal even incurable illnesses.
445,3,3,Garchomp,Dragon/Ground,14,17,12,126,,,40,,80,Tremorsense 100ft,18,20,17,6,14,10,12,16,,3,DEX,STR,,"Athletics, Acrobatics, Survival","Fire, Poison, Rock","Dragon, Fairy, Ice",Electric,Sand Veil,,Rough Skin,"Starting Moves: Crunch, Dragon Rage, Dual Chop, Fire Fang, Sand Attack, Sandstorm, Tackle, Take Down, Sand Tomb, Slash
Level 14: Dragon Claw, Dig
Level 18: Dragon Rush

TM: 02, 05, 06, 10, 11, 15, 17, 18, 21, 26, 27, 31, 32, 35, 37, 38, 39, 40, 42, 44, 45, 48, 54, 56, 59, 65, 68, 71, 75, 78, 80, 82, 84, 87, 88, 90, 94, 100

Abilities: Sand Veil
Hidden Ability: Rough Skin",,,,,"When it folds up its body and extends its wings, it looks like a jet plane. It flies at sonic speed."
